,month,text,year
10,March,"March 3  Iosif Shklovsky, Soviet astronomer and astrophysicist (b. 1916)
March 7  George Schick, Czechoslovakian conductor and music educator (b. 1908)
March 8  Edward Andrews, American stage, film and television actor (b. 1914)
March 10
Konstantin Chernenko, Soviet politician, General Secretary of the Communist Party of the Soviet Union (b. 1911)
Bob Nieman, American baseball player (b. 1927)
March 11
Tom Adams, Barbadosian politician, 2nd Prime Minister of Barbados (b. 1931)
Nazem Akkari, Lebanese politician, 19th Prime Minister of Lebanon (b. 1902)
March 12  Eugene Ormandy, Hungarian-American conductor (b. 1899)
March 13  Mabel Alvarez, American painter (b. 1891)
March 15  Radha Krishna Choudhary, Indian historian (b. 1921)
March 16  Roger Sessions, American composer (b. 1896)
March 21  Sir Michael Redgrave, British actor (b. 1908)
March 23
Doctor Richard Beeching, Chairman of British Rail (b. 1913)
Zoot Sims, American jazz saxophonist (b. 1925)
March 28  Marc Chagall, Russian-born painter (b. 1887)
March 29
The Singing Nun, Belgian nun and singer (b. 1933)
Gerhard Stock, German Olympic athlete (b. 1911)
March 30  Shizuko Kasagi, Japanese singer (b. 1914)
March 31
Michel Georges-Michel, French painter, journalist, novelist (b. 1883)
Richard McKeon, American philosopher (b. 1900)",1985.0
11,April,"March  The GNU Manifesto, written by Richard Stallman, is first published.
March 1  After a 12-year-long dictatorship, Julio Mara Sanguinetti is sworn in as the first democratically elected President of Uruguay.
March 3  The 8.0 Mw Algarrobo earthquake hits Santiago and Valparaso, Chile, leaving 177 dead, 2,575 injured, 142,489 houses destroyed, and approximately a million people homeless.
March 4  The U.S. FDA approves a blood test for AIDS, used hereafter to screen all U.S. blood donations.
March 8  A Beirut car bomb, planted in an attempt to assassinate Islamic cleric Sayyed Mohammad Hussein Fadlallah, kills more than 80 people and injures 200 more.
March 11
Mikhail Gorbachev becomes General Secretary of the Soviet Communist Party and de facto leader of the Soviet Union.
Mohamed Al-Fayed buys the London-based department store company Harrods.
March 15  Vice-President Jos Sarney, upon becoming vice president, assumes the duties of president of Brazil, as the new president Tancredo Neves had become severely ill the day before. Sarney would later become Brazil's first civilian president in 21 years, upon Neves' death on April 21.
March 16  Lebanon hostage crisis: Associated Press reporter Terry Anderson is taken hostage in Beirut; he is released on December 4, 1991.
March 17  Expo '85 is held in Tsukuba, Ibaraki, Japan, until September 16.
March 18  Australia's longest-running soap opera, Neighbours, debuts on Seven Network.
March 21  Canadian paraplegic athlete and activist Rick Hansen sets out on his 40,000 kilometres (25,000mi), 26-month Man in Motion tour which raises US$26million for spinal cord research and quality of life initiatives.
March 23  The Organization Commune Africaine et Malgache is dissolved.
March 24  U.S. Army military intelligence officer Arthur D. Nicholson is shot by Soviet military sergeant Aleksandr Ryabtsev at a Soviet military base in Ludwigslust, East Germany.
March 25
Emirates Airlines was founded in Dubai, United Arab Emirates.
The 57th Academy Awards were held in Los Angeles, with Amadeus winning Best Picture.",1985.0
12,April,"SovietAfghan War: The Soviet Union begins to transfer the burden of fighting the mujahideen to the armed forces of the Democratic Republic of Afghanistan, an origin of the Revolutions of 1989.
Cincinnati, OH-based Procter & Gamble ditches the moon & stars symbol from its packaging.
April 1
Telegraph and Telephone Public Corporation, and Japan Tobacco and Salt Public Corporation, are privatized and change their names to Nippon Telegraph and Telephone, and Japan Tobacco.
Eighth seeded Villanova Wildcats men's basketball defeats national powerhouse Georgetown 6664 to win the first 64 team field NCAA Tournament in Lexington, Kentucky.
April 11
The USS Coral Sea collides with the Ecuadorian tanker ship Napo off the coast of Cuba.
First Secretary Enver Hoxha, leader of the People's Socialist Republic of Albania, dies at age 76.
April 12  El Descanso bombing: A terrorist bombing attributed to the Islamic Jihad Organization in the El Descanso restaurant near Madrid, Spain, mostly attended by U.S. personnel from the Torrejn Air Base, causes 18 deaths (all Spaniards) and 82 injuries.
April 15  South Africa ends its ban on interracial marriages.
April 19
The Soviet Union performs a nuclear weapon test in eastern Kazakhstan.
A 4-day siege of white supremacist group The Covenant, The Sword, and the Arm of the Lord begins in Arkansas.
April 23  Coca-Cola changes its formula and releases New Coke. The response is overwhelmingly negative and the original formula is back on the market in less than three months.
April 28  The Australian Nuclear Disarmament Party (NDP) splits.",1985.0
13,April,"April 1
Danilo Caador, Brazilian footballer (d. 2018)
Daniel Murphy, American baseball player
Beth Tweddle, British artistic gymnast
Josh Zuckerman, American actor
April 2
Barry Corr, Irish footballer
Thom Evans, Zimbabwean-Scottish rugby player
Stphane Lambiel, Swiss figure skater
April 3
Leona Lewis, British pop musician
Jari-Matti Latvala, Finnish race car driver
April 4
Todrick Hall, American singer, songwriter, actor, director, choreographer and YouTuber
Lance Dos Ramos, Venezuelan actor, model and animator
Rudy Fernndez, Spanish professional basketball player
Ricardo Vilar, Brazilian footballer
April 5
Kim Ji-hoo, South Korean model and actor (d. 2008)
Lastings Milledge, American baseball player
April 6
Clarke MacArthur, Canadian ice hockey player
Al Mukadam, Canadian actor, director, and producer
Frank Ongfiang, Cameroonian footballer
Sinqua Walls, American basketball player and actor
April 7
Ariela Massotti, Brazilian actress
KC Concepcion, Filipina actress and singer
April 8
Patrick Schliwa, German rugby player
Yemane Tsegay, Ethiopian runner
April 9
Tim Bendzko, German singer-songwriter
David Robertson, American baseball player
Tomohisa Yamashita, Japanese singer and actor
Brian Elliott, Canadian ice hockey goaltender
April 10
Christie Laing, Canadian actress
Dion Phaneuf, Canadian NHL hockey player
Wang Meng, Chinese short track skater
April 12
Brennan Boesch, American baseball player
Olga Seryabkina, Russian pop musician
Hitomi Yoshizawa, Japanese singer and actress
April 13  Carmen Carrera, American model
April 16
Gregor Schmidinger, Austrian screenwriter and director
Nate Diaz, American mixed martial artist
Benjamn Rojas, Argentine singer and actor
April 17
Rooney Mara, American film and television actress
Luke Mitchell, Australian actor and model
Jo-Wilfried Tsonga, French tennis player
April 18
ukasz Fabiaski, Polish footballer
Elena Temnikova, Russian pop singer
April 19
Sabrina Jalees, Canadian comedian, dancer, actress, presenter, and writer
Zhang Xi, Chinese beach volleyball player
April 20  Billy Magnussen, American actor
April 22
Kristin Fairlie, Canadian actress
Camille Lacourt, French swimmer
April 23
Taio Cruz, British hip-hop musician
Angel Locsin, Filipino actress
April 24
Courtnee Draper, American actress, singer and voice actress
Josphine Jobert, French actress and singer
Kaori Nazuka, Japanese voice actress and singer
April 26
Nam Gyu-ri, South Korean actress and pop singer
Jemima Kirke, English-American artist and actress
Bre Scullark, American fashion model and actress
April 28  Brandon Baker, American actor
April 30  Gal Gadot, Israeli actress and model",1985.0
14,April,"April 4  Kate Roberts, Welsh-language author (b. 1891)
April 5  Paul Hugh Emmett, American chemical engineer (b. 1900)
April 6  Terence Sanders, British Olympic rower  coxless fours (b. 1901)
April 7  Carl Schmitt, German jurist, political theorist and professor of law (b. 1888)
April 8  J. Fred Coots, American songwriter (b. 1897)
April 10  Alfredo Duhalde, Chilean statesman (b. 1898)
April 11  Enver Hoxha, Albanian Communist politician, leader of the Party of Labour 22nd Prime Minister of Albania (b. 1908)
April 14  Noele Gordon, British actress (b. 1919)
April 15  Jack Medica, American Olympic swimmer (b. 1914)
April 16  Scott Brady, American actor (b. 1924)
April 17  Evadne Price, Australian-British writer, actress and astrologer (b. 1888)
April 18  Gertrude CatonThompson, English archaeologist (b. 1888)
April 19  Sergei Aleksandrovich Tokarev, Russian ethnologist (b. 1899)
April 21
John Welsh, Irish actor (b. 1914)
Tancredo Neves, Brazilian elected president and former Prime Minister (b. 1910)
April 22  Paul H. Emmett, American chemical engineer (b. 1900)
April 23  Kent Smith, American actor (b. 1907)
April 24  Mildred W. Pelzer, American artist (b. 1889)
April 25  Richard Haydn, English actor (b. 1905)
April 26  Albert Maltz, American screenwriter, one of the Hollywood Ten (b. 1908)",1985.0
15,April,Use mdy dates from August 2019Articles with short descriptionShort description is different from WikidataCommons category link is on WikidataAll articles with incomplete citationsArticles with incomplete citations from July 2020Articles using Mw magnitude scaleWikipedia articles needing page number citations from April 2020All articles with unsourced statementsArticles with unsourced statements from October 2020Wikipedia articles with LCCN identifiers,1985.0
16,May,"May 1  Soekarno-Hatta International Airport officially opens, becoming the new international gateway into Indonesia.
May 4  The 30th Eurovision Song Contest takes place in Gothenburg, Sweden and is won by the Bobbysocks! song La det swinge for Norway.
May 5  U.S. President Ronald Reagan joins West German Chancellor Helmut Kohl for a controversial funeral service at a cemetery in Bitburg, West Germany, which includes the graves of 59 elite S.S. troops from World War II.
May 9  The 3rd total Victory Day Parade (the first being in 1945 and the next in 1965) is held on Red Square in Moscow in the Soviet Union. It features T-34-85 tanks, veterans of World War II from Poland, Czechoslovakia and the Soviet Union, and is the first parade to be held during the reign of Mikhail Gorbachev.
May 11
The FBI brings charges against the suspected heads of the five Mafia families in New York City.
Bradford City stadium fire: A fire engulfs a wooden stand at the Valley Parade stadium in Bradford, England, during an Association football match, killing 56 people.
May 13
Philadelphia Mayor Wilson Goode orders police to storm the radical group MOVE's headquarters to end a stand-off. The police drop an explosive device into the headquarters, killing 11 MOVE members and destroying the homes of 61 city residents.
The National Assembly of Kuwait grants women the right to vote. The right is later revoked in 1999 and then re-instated in 2005.
May 15
An explosive device sent by the Unabomber injures John Hauser at University of California, Berkeley. In a later incidient that occurs on June 13, the police of Auburn, Washington defuse another Unabomber bomb sent to Boeing.
Argentinian President Ral Alfonsn terminates Argentinian administration of the Falkland Islands but does not relinquish Argentina's claim to the islands.
May 16  Scientists of the British Antarctic Survey announce the discovery of the ozone hole.[10][11][12]
May 19  John Anthony Walker Jr. is arrested by the FBI for passing classified naval communications to the Soviet Union.
May 23  Thomas Patrick Cavanaugh is sentenced to life in prison for attempting to sell stealth bomber secrets to the Soviet Union.
May 25  Approximately 10,000 people are killed when Bangladesh is affected by the storm surge from Tropical Storm One (1B).
May 26  Young driver Danny Sullivan beats veteran Mario Andretti to win the 1985 Indianapolis 500.[13]
May 29  Heysel Stadium disaster: Thirty-eight spectators are killed in rioting on the terraces during the European Cup final between Liverpool F.C. and Juventus at Heysel Stadium in Brussels, Belgium.
May 31  Forty-four tornadoes hit Ohio, Pennsylvania, New York and Ontario, including a rare powerful F5. In total, the event killed 90 people.",1985.0
17,May,"Philadelphia Mayor Wilson Goode orders police to storm the radical group MOVE's headquarters to end a stand-off. The police drop an explosive device into the headquarters, killing 11 MOVE members and destroying the homes of 61 city residents.
The National Assembly of Kuwait grants women the right to vote. The right is later revoked in 1999 and then re-instated in 2005.",1985.0
18,May,"March 2
Reggie Bush, American football player
Patrick Makau Musyoki, Kenyan long-distance runner
March 3
Alena and Ninel Karpovich, Belarusian twin sister musical duo, members of 3+2
Sam Morrow, Northern Irish footballer
March 5  Varalaxmi Sarathkumar, Indian actress
March 6  Chad Jackson, American football player
March 7
Guy Benson, American columnist, commentator, and political pundit
Cameron Prosser, Australian swimmer
March 8  Ewa Sonnet, Polish model
March 9
Brent Burns, Canadian hockey player
Rachel Nabors, American cartoonist
March 10
Cooper Andrews, American actor
Lassana Diarra, French footballer
March 11
Paul Bissonnette, Canadian ice hockey player
Ajantha Mendis, Sri Lankan cricketer
Hakuh Sh, 69th Yokozuna
March 12
Nikolai Topor-Stanley, Australian soccer player
Stromae, Belgian musical artist
March 13  Emile Hirsch, American actor
March 14
Eva Angelina, American pornographic actress
March 15
Eva Amurri, American actress
Antti Autti, Finnish snowboarder
Curtis Davies, English football player
Kellan Lutz, American fashion model and actor
March 17  Dominic Adams, British actor and model
March 18
Krisztin Berki, Hungarian artistic gymnast
Bianca King, Filipina actress and model
March 19  E. J. Viso, Venezuelan race car driver
March 21
Ryan Callahan, American hockey player
Adrian Peterson, American football player
Sonequa Martin-Green, American actress
March 22
James Wolk, American actor
Mayola Biboko, Belgian footballer
Jakob Fuglsang, Danish cyclist
Mike Jenkins, American football player
Justin Masterson, American baseball player
Kelli Waite, Australian swimmer
March 23  Maryana Spivak, Russian actress
March 24
Haruka Ayase, Japanese actress and model
Sayaka Hirano, Japanese table tennis player
Jeremy James Kissner, American actor
March 25  Ysuke Kobayashi, Japanese voice actor
March 26
Matt Grevers, American Olympic swimmer
Jonathan Groff, American actor, singer and dancer
Keira Knightley, English actress
Francesca Marie Smith, American actress, voice actress and writer
March 27
Ram Charan, Indian film actor
Blake McIver Ewing, American singer-songwriter, actor, model and pianist
Danny Vukovi, Australian soccer player
Caroline Winberg, Swedish model
March 28  Mark Melancon, American baseball pitcher
March 29  William Chak, Hong Kong actor
March 31
Peter Porte, American actor
Apinan Kaewpila, Thai footballer (d. 2020)
Jessica Szohr, American actress",1985.0
19,May,"James Wolk, American actor
Mayola Biboko, Belgian footballer
Jakob Fuglsang, Danish cyclist
Mike Jenkins, American football player
Justin Masterson, American baseball player
Kelli Waite, Australian swimmer",1985.0
